CustomerID,TotalOrders,TotalQuantity,TotalSpent,AverageUnitPrice,AverageCartSize,PricePerItem,CartUtilization,IsReferred,UniqueProducts,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,OrderStatus_Cancelled,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,AverageOrderValue,AverageQuantityPerOrder,SpendPerProduct,Cluster
C10866,1,3,789.57,263.19,5.0,263.19,0.6,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,789.57,3.0,789.57,0
C10892,1,2,754.94,377.47,7.0,377.47,0.2857142857142857,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,754.94,2.0,754.94,3
C11127,1,5,1306.65,261.33,5.0,261.33000000000004,1.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1306.65,5.0,1306.65,0
C11210,1,5,454.6,90.92,9.0,90.92,0.5555555555555556,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,454.6,5.0,454.6,0
C11415,1,5,2876.2,575.24,7.0,575.24,0.7142857142857143,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2876.2,5.0,2876.2,1
C11473,1,2,146.82,73.41,2.0,73.41,1.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,146.82,2.0,146.82,3
C11644,1,1,46.66,46.66,6.0,46.66,0.1666666666666666,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,46.66,1.0,46.66,3
C11657,1,4,264.4,66.1,9.0,66.1,0.4444444444444444,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,264.4,4.0,264.4,0
C11665,1,3,337.38,112.46,6.0,112.46,0.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,337.38,3.0,337.38,0
C11676,1,2,929.0,464.5,2.0,464.5,1.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,929.0,2.0,929.0,3
C11829,1,2,279.14,139.57,4.0,139.57,0.5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,279.14,2.0,279.14,3
C11849,1,2,476.5,238.25,7.0,238.25,0.2857142857142857,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,476.5,2.0,476.5,3
C11893,1,5,1582.0,316.4,7.0,316.4,0.7142857142857143,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1582.0,5.0,1582.0,1
C11906,1,3,1237.59,412.53,6.0,412.53,0.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1237.59,3.0,1237.59,0
C11921,1,1,452.7,452.7,5.0,452.7,0.2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,452.7,1.0,452.7,3
C11940,1,3,448.02,149.34,7.0,149.34,0.4285714285714285,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,448.02,3.0,448.02,0
C11985,1,1,30.44,30.44,1.0,30.44,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,30.44,1.0,30.44,3
C11998,1,3,1495.98,498.66,6.0,498.66,0.5,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1495.98,3.0,1495.98,1
C12039,1,1,132.68,132.68,1.0,132.68,1.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,132.68,1.0,132.68,3
C12245,1,2,815.58,407.79,3.0,407.79,0.6666666666666666,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,815.58,2.0,815.58,3
C12301,1,1,531.74,531.74,1.0,531.74,1.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,531.74,1.0,531.74,3
C12388,1,5,2683.6,536.72,10.0,536.72,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2683.6,5.0,2683.6,1
C12408,1,2,161.54,80.77,4.0,80.77,0.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,161.54,2.0,161.54,3
C12421,1,1,93.02,93.02,4.0,93.02,0.25,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,93.02,1.0,93.02,3
C12444,1,3,230.88,76.96,8.0,76.96,0.375,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,230.88,3.0,230.88,0
C12459,1,2,284.16,142.08,4.0,142.08,0.5,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,284.16,2.0,284.16,3
C12472,1,3,252.93,84.31,3.0,84.31,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,252.93,3.0,252.93,0
C12479,1,5,124.1,24.82,10.0,24.82,0.5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,124.1,5.0,124.1,0
C12487,1,3,1427.07,475.69,3.0,475.69,1.0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1427.07,3.0,1427.07,1
C12607,1,1,281.52,281.52,6.0,281.52,0.1666666666666666,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,281.52,1.0,281.52,3
C12609,1,4,547.32,136.83,8.0,136.83,0.5,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,547.32,4.0,547.32,0
C12667,1,1,223.3,223.3,1.0,223.3,1.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,223.3,1.0,223.3,3
C12740,1,5,644.75,128.95,10.0,128.95,0.5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,644.75,5.0,644.75,0
C12813,1,5,1462.7,292.54,8.0,292.54,0.625,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1462.7,5.0,1462.7,0
C12818,1,3,191.04,63.68,6.0,63.68,0.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,191.04,3.0,191.04,0
C13100,1,4,1177.64,294.41,4.0,294.41,1.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1177.64,4.0,1177.64,0
C13108,1,5,3293.85,658.77,10.0,658.77,0.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3293.85,5.0,3293.85,1
C13169,1,1,536.07,536.07,5.0,536.07,0.2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,536.07,1.0,536.07,3
C13186,1,2,889.68,444.84,7.0,444.84,0.2857142857142857,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,889.68,2.0,889.68,3
C13205,1,5,2107.1,421.42,7.0,421.42,0.7142857142857143,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2107.1,5.0,2107.1,1
C13296,1,2,108.82,54.41,6.0,54.41,0.3333333333333333,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,108.82,2.0,108.82,3
C13324,1,2,1199.48,599.74,2.0,599.74,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1199.48,2.0,1199.48,3
C13366,1,4,2714.2,678.55,5.0,678.55,0.8,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2714.2,4.0,2714.2,1
C13501,1,5,427.6,85.52,5.0,85.52000000000001,1.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,427.6,5.0,427.6,0
C13525,1,3,212.79,70.93,5.0,70.92999999999999,0.6,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,212.79,3.0,212.79,0
C13540,1,4,1239.64,309.91,5.0,309.91,0.8,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1239.64,4.0,1239.64,0
C13923,1,1,118.8,118.8,6.0,118.8,0.1666666666666666,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,118.8,1.0,118.8,3
C14005,1,2,80.46,40.23,4.0,40.23,0.5,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,80.46,2.0,80.46,0
C14017,1,2,1248.32,624.16,2.0,624.16,1.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1248.32,2.0,1248.32,3
C14080,1,1,283.69,283.69,6.0,283.69,0.1666666666666666,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,283.69,1.0,283.69,3
C14114,1,3,1704.06,568.02,3.0,568.02,1.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1704.06,3.0,1704.06,1
C14240,1,1,491.11,491.11,4.0,491.11,0.25,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,491.11,1.0,491.11,3
C14427,1,2,533.9,266.95,3.0,266.95,0.6666666666666666,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,533.9,2.0,533.9,3
C14455,1,3,164.85,54.95,8.0,54.95,0.375,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,164.85,3.0,164.85,0
C14457,1,5,395.4,79.08,8.0,79.08,0.625,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,395.4,5.0,395.4,0
C14552,1,5,1120.0,224.0,9.0,224.0,0.5555555555555556,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1120.0,5.0,1120.0,0
C14553,1,3,440.19,146.73,8.0,146.73,0.375,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,440.19,3.0,440.19,0
C14568,1,4,885.32,221.33,5.0,221.33,0.8,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,885.32,4.0,885.32,0
C14576,1,4,2156.8,539.2,8.0,539.2,0.5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2156.8,4.0,2156.8,1
C14600,1,2,441.8,220.9,4.0,220.9,0.5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,441.8,2.0,441.8,3
C14683,1,2,1069.34,534.67,7.0,534.67,0.2857142857142857,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1069.34,2.0,1069.34,3
C14737,1,4,581.64,145.41,7.0,145.41,0.5714285714285714,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,581.64,4.0,581.64,0
C14837,1,1,183.18,183.18,6.0,183.18,0.1666666666666666,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,183.18,1.0,183.18,3
C14847,2,5,1097.81,256.78,4.0,256.78,0.5666666666666667,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,548.905,2.5,548.905,2
C14891,1,4,1654.96,413.74,7.0,413.74,0.5714285714285714,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1654.96,4.0,1654.96,1
C14983,1,1,17.24,17.24,2.0,17.24,0.5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,17.24,1.0,17.24,3
C15017,1,1,675.57,675.57,1.0,675.57,1.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,675.57,1.0,675.57,3
C15063,1,5,426.1,85.22,7.0,85.22,0.7142857142857143,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,426.1,5.0,426.1,0
C15146,1,5,190.55,38.11,6.0,38.11,0.8333333333333334,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,190.55,5.0,190.55,0
C15228,1,3,1422.42,474.14,8.0,474.14,0.375,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1422.42,3.0,1422.42,1
C15257,1,4,580.2,145.05,6.0,145.05,0.6666666666666666,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,580.2,4.0,580.2,0
C15283,1,1,381.02,381.02,6.0,381.02,0.1666666666666666,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,381.02,1.0,381.02,3
C15624,1,5,3097.6,619.52,9.0,619.52,0.5555555555555556,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3097.6,5.0,3097.6,1
C15629,1,3,912.45,304.15,3.0,304.15000000000003,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,912.45,3.0,912.45,3
C15681,1,4,2161.64,540.41,6.0,540.41,0.6666666666666666,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2161.64,4.0,2161.64,1
C15849,1,1,525.43,525.43,2.0,525.43,0.5,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,525.43,1.0,525.43,3
C15924,1,1,245.89,245.89,3.0,245.89,0.3333333333333333,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,245.89,1.0,245.89,3
C16012,1,1,630.82,630.82,5.0,630.82,0.2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,630.82,1.0,630.82,3
C16253,1,2,399.4,199.7,4.0,199.7,0.5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,399.4,2.0,399.4,3
C16400,1,3,628.44,209.48,4.0,209.48,0.75,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,628.44,3.0,628.44,0
C16429,1,1,679.65,679.65,6.0,679.65,0.1666666666666666,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,679.65,1.0,679.65,3
C16612,1,1,600.54,600.54,4.0,600.54,0.25,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,600.54,1.0,600.54,3
C16675,1,4,857.4,214.35,7.0,214.35,0.5714285714285714,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,857.4,4.0,857.4,0
C16693,1,4,949.72,237.43,8.0,237.43,0.5,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,949.72,4.0,949.72,0
C16702,1,3,1390.17,463.39,3.0,463.39,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1390.17,3.0,1390.17,1
C16758,1,3,188.31,62.77,6.0,62.77,0.5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,188.31,3.0,188.31,0
C16776,1,2,320.0,160.0,4.0,160.0,0.5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,320.0,2.0,320.0,3
C16790,1,4,258.96,64.74,8.0,64.74,0.5,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,258.96,4.0,258.96,0
C17075,1,4,1259.04,314.76,8.0,314.76,0.5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1259.04,4.0,1259.04,0
C17103,1,3,1278.36,426.12,5.0,426.12,0.6,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1278.36,3.0,1278.36,1
C17132,1,1,386.03,386.03,4.0,386.03,0.25,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,386.03,1.0,386.03,3
C17136,1,4,641.96,160.49,8.0,160.49,0.5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,641.96,4.0,641.96,0
C17181,1,5,2276.65,455.33,8.0,455.33,0.625,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2276.65,5.0,2276.65,1
C17269,1,4,1733.8,433.45,4.0,433.45,1.0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1733.8,4.0,1733.8,1
C17302,1,1,359.99,359.99,5.0,359.99,0.2,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,359.99,1.0,359.99,3
C17388,1,1,317.25,317.25,1.0,317.25,1.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,317.25,1.0,317.25,3
C17389,1,1,522.08,522.08,5.0,522.08,0.2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,522.08,1.0,522.08,3
C17470,1,2,461.9,230.95,3.0,230.95,0.6666666666666666,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,461.9,2.0,461.9,3
C17551,1,1,518.39,518.39,4.0,518.39,0.25,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,518.39,1.0,518.39,3
C17591,1,1,479.76,479.76,1.0,479.76,1.0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,479.76,1.0,479.76,3
C17921,1,4,1210.6,302.65,8.0,302.65,0.5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1210.6,4.0,1210.6,0
C17966,1,2,185.74,92.87,5.0,92.87,0.4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,185.74,2.0,185.74,3
C18037,1,2,140.68,70.34,3.0,70.34,0.6666666666666666,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,140.68,2.0,140.68,3
C18076,1,3,1766.22,588.74,8.0,588.74,0.375,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1766.22,3.0,1766.22,1
C18104,1,5,635.9,127.18,9.0,127.18,0.5555555555555556,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,635.9,5.0,635.9,0
C18105,1,4,2332.08,583.02,4.0,583.02,1.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2332.08,4.0,2332.08,1
C18138,1,3,1618.38,539.46,4.0,539.46,0.75,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1618.38,3.0,1618.38,1
C18167,1,4,887.84,221.96,7.0,221.96,0.5714285714285714,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,887.84,4.0,887.84,0
C18169,1,2,929.84,464.92,2.0,464.92,1.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,929.84,2.0,929.84,3
C18187,1,1,605.28,605.28,3.0,605.28,0.3333333333333333,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,605.28,1.0,605.28,3
C18353,1,3,1299.99,433.33,4.0,433.33,0.75,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1299.99,3.0,1299.99,1
C18473,1,2,840.58,420.29,3.0,420.29,0.6666666666666666,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,840.58,2.0,840.58,3
C18567,1,4,365.84,91.46,9.0,91.46,0.4444444444444444,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,365.84,4.0,365.84,0
C18583,1,5,1822.1,364.42,10.0,364.42,0.5,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1822.1,5.0,1822.1,1
C18717,1,5,2793.15,558.63,8.0,558.63,0.625,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2793.15,5.0,2793.15,1
C18724,1,1,616.1,616.1,6.0,616.1,0.1666666666666666,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,616.1,1.0,616.1,3
C18820,1,5,2573.0,514.6,10.0,514.6,0.5,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2573.0,5.0,2573.0,1
C18826,1,3,1443.3,481.1,3.0,481.1,1.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1443.3,3.0,1443.3,1
C18944,1,4,1575.2,393.8,7.0,393.8,0.5714285714285714,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1575.2,4.0,1575.2,1
C18984,1,3,1767.9,589.3,6.0,589.3000000000001,0.5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1767.9,3.0,1767.9,1
C19071,1,3,1352.94,450.98,8.0,450.98,0.375,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1352.94,3.0,1352.94,1
C19266,1,3,442.17,147.39,3.0,147.39,1.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,442.17,3.0,442.17,0
C19368,1,2,646.44,323.22,7.0,323.22,0.2857142857142857,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,646.44,2.0,646.44,3
C19384,1,4,351.16,87.79,6.0,87.79,0.6666666666666666,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,351.16,4.0,351.16,0
C19402,1,4,1204.68,301.17,6.0,301.17,0.6666666666666666,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1204.68,4.0,1204.68,0
C19439,1,1,440.34,440.34,2.0,440.34,0.5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,440.34,1.0,440.34,3
C19451,1,4,2357.76,589.44,5.0,589.44,0.8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2357.76,4.0,2357.76,1
C19648,1,4,2673.44,668.36,5.0,668.36,0.8,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2673.44,4.0,2673.44,1
C19722,1,1,596.24,596.24,4.0,596.24,0.25,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,596.24,1.0,596.24,3
C19742,1,1,332.09,332.09,5.0,332.09,0.2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,332.09,1.0,332.09,3
C19759,1,2,1176.6,588.3,2.0,588.3,1.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1176.6,2.0,1176.6,3
C19937,1,1,438.34,438.34,5.0,438.34,0.2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,438.34,1.0,438.34,3
C20077,1,4,2372.88,593.22,8.0,593.22,0.5,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2372.88,4.0,2372.88,1
C20095,1,2,1325.06,662.53,5.0,662.53,0.4,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1325.06,2.0,1325.06,3
C20124,1,2,177.46,88.73,5.0,88.73,0.4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,177.46,2.0,177.46,3
C20212,1,3,1834.35,611.45,4.0,611.4499999999999,0.75,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1834.35,3.0,1834.35,1
C20256,1,3,1616.22,538.74,6.0,538.74,0.5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1616.22,3.0,1616.22,1
C20257,1,5,1343.9,268.78,7.0,268.78000000000003,0.7142857142857143,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1343.9,5.0,1343.9,0
C20286,1,1,571.9,571.9,1.0,571.9,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,571.9,1.0,571.9,3
C20338,1,1,370.85,370.85,2.0,370.85,0.5,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,370.85,1.0,370.85,3
C20357,1,3,2077.32,692.44,8.0,692.44,0.375,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2077.32,3.0,2077.32,1
C20448,1,2,296.44,148.22,7.0,148.22,0.2857142857142857,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,296.44,2.0,296.44,0
C20512,1,4,2763.12,690.78,9.0,690.78,0.4444444444444444,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2763.12,4.0,2763.12,1
C20624,1,1,479.56,479.56,1.0,479.56,1.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,479.56,1.0,479.56,3
C20643,1,4,2011.96,502.99,4.0,502.99,1.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2011.96,4.0,2011.96,1
C20670,1,2,935.82,467.91,5.0,467.91,0.4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,935.82,2.0,935.82,3
C20731,1,4,1777.76,444.44,8.0,444.44,0.5,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1777.76,4.0,1777.76,1
C20752,1,1,572.13,572.13,4.0,572.13,0.25,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,572.13,1.0,572.13,3
C20817,1,5,3078.35,615.67,6.0,615.67,0.8333333333333334,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3078.35,5.0,3078.35,1
C20861,1,5,2441.75,488.35,9.0,488.35,0.5555555555555556,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2441.75,5.0,2441.75,1
C20881,1,2,1288.1,644.05,5.0,644.05,0.4,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1288.1,2.0,1288.1,3
C20977,1,4,1740.48,435.12,9.0,435.12,0.4444444444444444,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1740.48,4.0,1740.48,1
C21043,1,1,694.5,694.5,3.0,694.5,0.3333333333333333,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,694.5,1.0,694.5,3
C21126,1,1,107.04,107.04,6.0,107.04,0.1666666666666666,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,107.04,1.0,107.04,3
C21147,1,1,335.1,335.1,6.0,335.1,0.1666666666666666,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,335.1,1.0,335.1,3
C21167,1,4,2235.6,558.9,9.0,558.9,0.4444444444444444,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2235.6,4.0,2235.6,1
C21181,1,2,1350.2,675.1,4.0,675.1,0.5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1350.2,2.0,1350.2,1
C21191,2,3,647.77,243.39499999999998,2.0,243.39499999999998,0.8333333333333333,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,323.885,1.5,323.885,2
C21227,1,1,590.87,590.87,6.0,590.87,0.1666666666666666,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,590.87,1.0,590.87,3
